Symbol,Name,Sector,Price_PKR,Growth_5yr,Volatility,Dividend_Yield,Momentum_Score,Market_Cap_B
MCB,MCB Bank,Banking,280,0.18,0.12,8.2,0.85,320
HBL,Habib Bank Ltd,Banking,145,0.15,0.14,7.5,0.78,280
UBL,United Bank Ltd,Banking,195,0.14,0.13,6.8,0.72,240
BAHL,Bank AL Habib,Banking,95,0.12,0.11,6.2,0.68,180
OGDC,Oil & Gas Dev Corp,Energy,115,0.22,0.18,9.1,0.82,450
PPL,Pakistan Petroleum,Energy,98,0.19,0.17,8.5,0.76,380
PSO,Pakistan State Oil,Energy,310,0.25,0.22,7.8,0.80,290
MARI,Mari Petroleum,Energy,2100,0.28,0.20,5.5,0.88,420
ENGRO,Engro Corporation,Fertilizer,335,0.16,0.15,10.2,0.74,310
EFERT,Engro Fertilizers,Fertilizer,105,0.13,0.14,11.5,0.70,210
FFC,Fauji Fertilizer,Fertilizer,125,0.12,0.13,12.0,0.66,250
LUCK,Lucky Cement,Cement,1050,0.20,0.19,4.5,0.79,380
DGKC,DG Khan Cement,Cement,185,0.17,0.18,3.8,0.71,220
MLCF,Maple Leaf Cement,Cement,78,0.14,0.20,3.2,0.65,180
HUBC,Hub Power Company,Power,115,0.11,0.10,13.5,0.62,280
KAPCO,Kot Addu Power,Power,48,0.08,0.12,14.2,0.58,150
NCPL,Nishat Chunian Power,Power,35,0.07,0.13,13.8,0.55,120
TRG,TRG Pakistan,Technology,225,0.35,0.30,1.5,0.92,190
SYS,Systems Limited,Technology,520,0.40,0.28,2.2,0.95,210
NETSOL,NetSol Technologies,Technology,185,0.30,0.32,1.8,0.88,95
NESTLE,Nestle Pakistan,FMCG,7200,0.10,0.08,3.5,0.60,380
COLG,Colgate-Palmolive Pak,FMCG,2850,0.09,0.09,4.2,0.58,280
UNILEVER,Unilever Pakistan,FMCG,1850,0.08,0.07,5.8,0.55,350
STJC,St. Joseph Cement,Cement,145,0.11,0.17,3.0,0.60,130
ATRL,Attock Refinery,Energy,480,0.16,0.19,6.5,0.70,160
ATRL	Attock Refinery	Energy	480	0.16	0.19	6.5	0.7	160
MEBL	Meezan Bank	Banking	5686	0.11	0.21	8.8	0.94	316
AVN	Avanceon Limited	Technology	320	0.2	0.21	1.8	0.6	213
BIPL	Bank Islami	Banking	17	0.13	0.31	12.5	0.53	161
HASH	Hashoo Group	Misc	7200	0.22	0.28	11.7	0.59	89
PAKRI	Pak Reinsurance	Insurance	84	0.07	0.27	11.6	0.55	138
FFBL	Fauji Fert Bin Qasim	Fertilizer	35	0.21	0.3	8	0.52	316
PKGS	Packages Limited	Misc	1079	0.22	0.3	13.1	0.58	41
PACE	Pace Pakistan	Misc	4076	0.28	0.2	2.8	0.6	69
NATF	National Foods	FMCG	5172	0.37	0.21	0.8	0.73	135
SMBL	Summit Bank	Banking	7603	0.14	0.23	9	0.69	338
MRNS	Mehran Sugar	Food	193	0.19	0.25	4.3	0.65	424
SILK	Silk Bank	Banking	1880	0.12	0.14	13.5	0.91	165
ASC	Al-Shaheer Corp	Food	5359	0.05	0.29	4.3	0.81	108
LPCL	Lafarge Pakistan	Cement	108	0.3	0.12	9.2	0.62	290
LOADS2	Lotte Akhtar	Chemicals	41	0.05	0.28	9.2	0.62	419
PIOC	Pioneer Cement	Cement	89	0.24	0.3	8.4	0.57	105
TRIPF	Tri-Pack Films	Misc	381	0.12	0.14	1.5	0.86	248
FCCL	Fauji Cement	Cement	94	0.36	0.08	10.7	0.65	250
AKBL	Askari Bank	Banking	99	0.18	0.08	6.8	0.59	275
PREMA	At-Tahur Limited	FMCG	578	0.16	0.3	14	0.63	368
FRCL	Frontier Ceramics	Glass	356	0.11	0.33	3.8	0.55	262
FCEPL	Frieslandcampina	FMCG	1986	0.12	0.08	6.3	0.74	452
EFUL	EFU Life	Insurance	72	0.38	0.32	9	0.81	103
MENG	Maple Energy	Energy	207	0.24	0.12	9.6	0.67	423
MACTER	Macter International	Pharma	204	0.12	0.28	8.8	0.65	266
STRADE	Systems Trade	Misc	37	0.28	0.15	9.6	0.78	87
